Module,Type,App / Tile,App ID,Classic tx / table,Business role,Replaces / notes
Production (PP),Custom,Batch Status,freestyle (custom RAP),—,custom business role,"ZBATCHD, ZBATCH_CLS"
Production (PP),Custom,Dyeing Packing,freestyle (custom RAP),—,custom business role,"ZPACK01D/02D/03D, ZREPACKD"
Production (PP),Custom,Packing Details,freestyle (custom RAP),—,custom business role,"ZPACK01/01N/02/02N/03, ZREPACK"
Production (PP),Custom,Post Packing & GR,freestyle (custom RAP),—,custom business role,ZPOST01
Production (PP),Custom,Palletization,freestyle (custom RAP),—,custom business role,"ZPALLET/1, ZPAL_BOX, ZSOL_ASRS"
Production (PP),Custom,MTOS Process,freestyle (custom RAP),—,custom business role,"ZMTOS, ZHUINV"
Production (PP),Extended,Confirm Production Operation,F3069,—,(base-app role),ZCO11N / ZCO11A
Production (PP),Standard,Manage Batches,F2462,MSC3N,SAP_BR_WAREHOUSE_CLERK,ZBATCH01/02/03(N)
Production (PP),Standard,Manage Work Centers,F6175,CR01/02/03,SAP_BR_PRODN_PLANNER,one app for all work centres — PP machine (cat. 0001) & PM maintenance (cat. 0005)
Production (PP),Standard,Manage Work Center Capacity,F3289,CM01 / CM07,SAP_BR_PRODN_PLANNER,work-centre load / capacity scheduling
Production (PP),Standard,Manage Bill of Operations (Routing),CA01,CA02 / CA03,SAP_BR_MANUF_ENGINEER,operations ↔ work centre — makes production work-centre-wise
Production (PP),Master data,Shade Master,Fiori Elements,ZDD_SHADE,master-data role,ZDD_SHADE
Production (PP),Master data,Recipe Master,Fiori Elements,ZPP_RECEIPE,master-data role,ZRECP01/02/03
Production (PP),Master data,Job Master,Fiori Elements,ZPP_JOBN,master-data role,ZJOB01/02/03(N)
Production (PP),Master data,Schedule Master,Fiori Elements,ZPP_SCHEDULEN,master-data role,ZSCH01/02/03(N)
Production (PP),Master data,Merge Details,Fiori Elements,ZPP_MERGE,master-data role,ZMERGE
Production (PP),Master data,Checked / Packed By,Fiori Elements,ZPP_PCBY,master-data role,ZPCBY
Production (PP),Master data,Packing Material Master,Fiori Elements,ZPACK_MAST,master-data role,ZPACK_MAST
Production (PP),Analytics,Packed Stock,ZC_PackedStockQuery,—,reporting role,8 stock reports (ZBOXSTOCK...)
Production (PP),Analytics,Packing Register,ZC_PackingRegisterQuery,—,reporting role,17 pack-list reports
Production (PP),Analytics,WIP Batch,ZC_WipBatchQuery,—,reporting role,ZBATCH_WIP
Production (PP),Analytics,Merge Analysis,ZC_MergeAnalysisQuery,—,reporting role,merge stock reports
Production (PP),Analytics,Recipe Analysis,ZC_RecipeAnalysisQuery,—,reporting role,ZRECPM
Production (PP),Analytics,Job Card,ZC_JobCardQuery,—,reporting role,ZJOBREPTN
Sales & Distribution (SD),Custom,Contract Batch Update,freestyle (custom RAP),—,custom business role,ZBATCH_CHANGE
Sales & Distribution (SD),Custom,Dispatch Correction,freestyle (custom RAP),—,custom business role,ZDSP_CORR
Sales & Distribution (SD),Extended,Manage Sales Orders,F1873,—,(base-app role),"ZVA01 / ZVA01N, ZSOCLOSE"
Sales & Distribution (SD),Extended,Manage Sales Contracts,VA42,—,(base-app role),"ZCON_CLOSE/1, ZCOREL, ZCON02"
Sales & Distribution (SD),Extended,Manage Outbound Deliveries,F0867A,—,(base-app role),ZDEL
Sales & Distribution (SD),Standard,Release Sales Contracts,VA42,Flexible Workflow,SAP_BR_INTERNAL_SALES_REP,contract approval — Flexible Workflow → My Inbox (cf. Manage Sales Contracts ext)
Sales & Distribution (SD),Standard,Sales Order Fulfillment — Issues,F0251,VA05,SAP_BR_INTERNAL_SALES_REP,"analyse & resolve blocked / incomplete orders (ATP, credit, billing blocks)"
Sales & Distribution (SD),Standard,Create Billing Documents,F0798,VF01 / VF04,SAP_BR_BILLING_CLERK,billing due list — invoice creation
Sales & Distribution (SD),Standard,Manage Billing Documents,F0797,VF03 / VF05,SAP_BR_BILLING_CLERK,review / post / cancel invoices & credit memos
